Project,Dataset,Table
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220328
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220404
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220411
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220418
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220425
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220502
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220509
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220516
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220523
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220530
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220606
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220613
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220620
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220627
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220704
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220711
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220718
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220725
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220801
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220808
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220815
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220822
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220829
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220905
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220912
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220919
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20220926
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221003
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221010
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221017
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221024
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221031
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221107
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221114
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221121
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221128
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221205
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221212
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221219
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20221226
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230109
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230116
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230123
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_agg_20230130
